calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle María Auxiliadora;María Auxiliadora;María;Auxiliadora;2;female;santa;primary;https://es.wikipedia.org/wiki/María_Auxiliadora
Avenida Nuestra Señora de las Mercedes;Nuestra Señora de las Mercedes;Nuestra Señora de las;Mercedes;2;female;religiosa;tertiary;https://es.wikipedia.org/wiki/Nuestra_Señora_de_las_Mercedes
Calle Madre San Marcelo;Madre San Marcelo;Madre San;Marcelo;2;female;religiosa;residential;
Calle Procuradora Ascensión García Ortiz;Procuradora Ascensión García Ortiz;Procuradora Ascensión García;Ortiz;2;female;politica;residential;
Calle Virgen del Carmen;Virgen del Carmen;Virgen del;Carmen;2;female;religiosa;residential;
Calle Virgen de la Oliva;Virgen de la Oliva;Virgen de la;Oliva;2;female;religiosa;primary;
Calle Virgen del Patrocinio;Virgen del Patrocinio;Virgen del;Patrocinio;2;female;religiosa;primary;
Calle Virgen de Consolación;Virgen de Consolación;Virgen de;Consolación;2;female;religiosa;residential;
Calle Virgen de Fuensanta;Virgen de Fuensanta;Virgen de;Fuensanta;2;female;religiosa;pedestrian;
Calle Virgen del Valle;Virgen del Valle;Virgen del;Valle;2;female;religiosa;residential;
Calle Virgen de Regla;Virgen de Regla;Virgen de;Regla;2;female;religiosa;residential;
Calle Virgen de la Victoria;Virgen de la Victoria;Virgen de la;Victoria;2;female;religiosa;residential;
Calle Virgen de Setefilla;Virgen de Setefilla;Virgen de;Setefilla;2;female;religiosa;residential;
Calle Virgen de Begoña;Virgen de Begoña;Virgen de;Begoña;2;female;religiosa;residential;
Calle Virgen de África;Virgen de África;Virgen de;África;2;female;religiosa;residential;
Calle Madre Rafols;Madre Rafols;Madre;Rafols;2;female;religiosa;residential;https://es.wikipedia.org/wiki/María_Rafols
Calle Virgen de Loreto;Virgen de Loreto;Virgen de;Loreto;2;female;religiosa;residential;
Calle Virgen de Aguas Santas;Virgen de Aguas Santas;Virgen de Aguas;Santas;2;female;religiosa;residential;
Virgen de las Montañas;Virgen de las Montañas;Virgen de las;Montañas;2;female;religiosa;residential;
Calle Virgen de las Montañas;Virgen de las Montañas;Virgen de las;Montañas;2;female;religiosa;residential;
Calle Virgen del Águila;Virgen del Águila;Virgen del;Águila;2;female;religiosa;residential;
Calle Virgen de la Estrella;Virgen de la Estrella;Virgen de la;Estrella;2;female;religiosa;residential;
Calle Virgen de la Antigua;Virgen de la Antigua;Virgen de la;Antigua;2;female;religiosa;residential;
Calle Virgen de la Cinta;Virgen de la Cinta;Virgen de la;Cinta;2;female;religiosa;residential;
Calle Virgen de Robledo;Virgen de Robledo;Virgen de;Robledo;2;female;religiosa;residential;
Calle Virgen de Monserrat;Virgen de Monserrat;Virgen de;Monserrat;2;female;religiosa;residential;
Calle Virgen de Guaditoca;Virgen de Guaditoca;Virgen de;Guaditoca;2;female;religiosa;residential;
Calle Esperanza de Triana;Esperanza de Triana;Esperanza de;Triana;2;female;religiosa;residential;
Calle Virgen de Fátima;Virgen de Fátima;Virgen de;Fátima;2;female;religiosa;residential;
Calle Virgen del Buen Aire;Virgen del Buen Aire;Virgen del Buen;Aire;2;female;religiosa;unclassified;
Virgen del Sagrado Corazón;Virgen del Sagrado Corazón;Virgen del Sagrado;Corazón;2;female;religiosa;unclassified;
Calle Lucía de Jesús;Lucía de Jesús;Lucía de;Jesús;2;female;religiosa;unclassified;
