calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Glorieta Directora Esperanza Vélez;Glorieta Directora Esperanza Vélez;Glorieta Directora Esperanza;Vélez;2;female;politica;tertiary;
Calle Madre de Cristo;Madre de Cristo;Madre de;Cristo;2;female;religiosa;tertiary;https://es.wikipedia.org/wiki/Cristóbal_Sánchez_de_Madrid
Calle Madre Purísima;Madre Purísima;Madre;Purísima;2;female;religiosa;pedestrian;https://es.wikipedia.org/wiki/Madre_Purísima
Calle Isadora Duncan;Isadora Duncan;Isadora;Duncan;2;female;artista;residential;https://es.wikipedia.org/wiki/Isadora_Duncan
Calle Virgen de Soterraña;Virgen de Soterraña;Virgen de;Soterraña;2;female;religiosa;residential;
Calle Guiomar de Ulloa;Guiomar de Ulloa;Guiomar de;Ulloa;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Guiomar_de_Ulloa
Calle María Briceño;María Briceño;María;Briceño;2;female;religiosa;residential;https://es.wikipedia.org/wiki/María_Briceño
Calle Doctora Vieira Fuentes;Doctora Vieira Fuentes;Doctora Vieira;Fuentes;2;female;cientifica;residential;
Calle Virgen de la Candelaria;Virgen de la Candelaria;Virgen de la;Candelaria;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Virgen_de_la_Candelaria
Calle Antonia Colomé;Antonia Colomé;Antonia;Colomé;2;female;artista;pedestrian;https://es.wikipedia.org/wiki/Antonio_Colom
Calle América Martínez;América Martínez;América;Martínez;2;female;historica;residential;https://es.wikipedia.org/wiki/América_Martínez_Serrano
Calle María Zambrano;María Zambrano;María;Zambrano;2;female;cientifica;residential;https://es.wikipedia.org/wiki/María_Zambrano
Calle Emilia Barral;Emilia Barral;Emilia;Barral;2;female;artista;residential;https://es.wikipedia.org/wiki/Emiliano_Barral
Calle Atenea;Atenea;Atenea;;2;female;historica;residential;https://es.wikipedia.org/wiki/Atenea
Calle Penélope;Penélope;Penélope;;2;female;historica;pedestrian;https://es.wikipedia.org/wiki/Penélope
Calle Calipso;Calipso;Calipso;;2;female;historica;residential;https://es.wikipedia.org/wiki/Calipso_(mitología)
Calle Flora Tristán;Flora Tristán;Flora;Tristán;2;female;politica;tertiary;https://es.wikipedia.org/wiki/Flora_Tristán
Calle Isabel Chéix;Isabel Chéix;Isabel;Chéix;2;female;historica;residential;
Calle Camino de la Ermita de la Virgen de Valme;Camino de la Ermita de la Virgen de Valme;Camino de la Ermita de la Virgen de;Valme;2;female;religiosa;tertiary;
Calle Feliciana Enríquez;Feliciana Enríquez;Feliciana;Enríquez;2;female;escritora;residential;https://es.wikipedia.org/wiki/Feliciana_Enríquez_de_Guzmán
Calle Francisca Sánchez Blanco;Francisca Sánchez Blanco;Francisca Sánchez;Blanco;2;female;historica;residential;
Calle Santa Margarita;Santa Margarita;Santa;Margarita;2;female;santa;residential;
Calle Galatea;Galatea;Galatea;;2;female;historica;residential;https://es.wikipedia.org/wiki/Galatea_(mitología)
Calle Proserpina;Proserpina;Proserpina;;2;female;historica;residential;https://es.wikipedia.org/wiki/Proserpina
Calle Virgen de Valme;Virgen de Valme;Virgen de;Valme;2;female;religiosa;residential;
Calle Virgen del Subterráneo;Virgen del Subterráneo;Virgen del;Subterráneo;2;female;religiosa;pedestrian;
Calle Rectora Rosario Valpuesta Fernández;Rectora Rosario Valpuesta Fernández;Rectora Rosario Valpuesta;Fernández;2;female;cientifica;primary;https://es.wikipedia.org/wiki/Rosario_Valpuesta
Plaza María Pita;María Pita;María;Pita;2;female;historica;living_street;https://es.wikipedia.org/wiki/María_Pita
Calle Gertrudis Gómez de Avellaneda;Gertrudis Gómez de Avellaneda;Gertrudis Gómez de;Avellaneda;2;female;escritora;tertiary;https://es.wikipedia.org/wiki/Gertrudis_Gómez_de_Avellaneda
Calle Perséfone;Perséfone;Perséfone;;2;female;historica;residential;https://es.wikipedia.org/wiki/Perséfone
Calle Selene;Selene;Selene;;2;female;historica;residential;
Calle Afrodita;Afrodita;Afrodita;;2;female;historica;residential;https://es.wikipedia.org/wiki/Afrodita
Travesía Feliciana Enríquez;Travesía Feliciana Enríquez;Travesía Feliciana;Enríquez;2;female;escritora;residential;https://es.wikipedia.org/wiki/Feliciana_Enríquez_de_Guzmán
Plaza Virgen de los Reyes;Virgen de los Reyes;Virgen de los;Reyes;2;female;religiosa;living_street;https://es.wikipedia.org/wiki/Virgen_de_los_Reyes
Calle Virgen de Luján;Virgen de Luján;Virgen de;Luján;2;female;religiosa;secondary;https://es.wikipedia.org/wiki/Virgen_de_Luján
Glorieta Carmen Olmedo Checa;Glorieta Carmen Olmedo Checa;Glorieta Carmen Olmedo;Checa;2;female;historica;tertiary;
Calle Virgen de Palma Coronada;Virgen de Palma Coronada;Virgen de Palma;Coronada;2;female;religiosa;living_street;
Josefa Reina Puerto;Josefa Reina Puerto;Josefa Reina;Puerto;2;female;historica;pedestrian;
Plaza Nuestra Señora de Valme;Nuestra Señora de Valme;Nuestra Señora de;Valme;2;female;religiosa;pedestrian;https://es.wikipedia.org/wiki/Nuestra_Señora_de_Valvanera
Calle Gracia de Triana;Gracia de Triana;Gracia de;Triana;2;female;historica;pedestrian;https://es.wikipedia.org/wiki/Gracia_de_Triana
Plaza Maria Purísima de la Cruz;Maria Purísima de la Cruz;Maria Purísima de la;Cruz;2;female;religiosa;living_street;
Calle Madre Dolores Márquez;Madre Dolores Márquez;Madre Dolores;Márquez;2;female;religiosa;residential;
Calle Soledad Miranda;Soledad Miranda;Soledad;Miranda;2;female;artista;pedestrian;https://es.wikipedia.org/wiki/Soledad_Miranda
Calle Virgen de las Lágrimas;Virgen de las Lágrimas;Virgen de las;Lágrimas;2;female;religiosa;residential;
Paseo Nuestra Señora de la O;Nuestra Señora de la O;Nuestra Señora de la;O;2;female;religiosa;footway;
Calle Santa Ana;Santa Ana;Santa;Ana;2;female;santa;living_street;
Calle Nuestra Señora del Pilar;Nuestra Señora del Pilar;Nuestra Señora del;Pilar;2;female;religiosa;tertiary;
Barriada Nuestra Señora de la Oliva;Barriada Nuestra Señora de la Oliva;Barriada Nuestra Señora de la;Oliva;2;female;religiosa;residential;
Calle Teresa de Calcuta;Teresa de Calcuta;Teresa de;Calcuta;2;female;santa;pedestrian;https://es.wikipedia.org/wiki/Madre_Teresa_de_Calcuta
Calle Madre Dolorosa;Madre Dolorosa;Madre;Dolorosa;2;female;religiosa;pedestrian;
Calle Minerva;Minerva;Minerva;;2;female;historica;living_street;https://es.wikipedia.org/wiki/Minerva
Calle Madre de Misericordia;Madre de Misericordia;Madre de;Misericordia;2;female;religiosa;pedestrian;
Calle Virgen Inmaculada;Virgen Inmaculada;Virgen;Inmaculada;2;female;religiosa;residential;
Calle Virgen del Mar;Virgen del Mar;Virgen del;Mar;2;female;religiosa;residential;
Calle Virgen del Prado;Virgen del Prado;Virgen del;Prado;2;female;religiosa;residential;
Glorieta Gabriela Ortega Gómez;Glorieta Gabriela Ortega Gómez;Glorieta Gabriela Ortega;Gómez;2;female;politica;pedestrian;https://es.wikipedia.org/wiki/Gabriela_Ortega
Calle María Laffitte;María Laffitte;María;Laffitte;2;female;escritora;residential;https://es.wikipedia.org/wiki/María_Laffitte
Calle Amalia Domingo Soler;Amalia Domingo Soler;Amalia Domingo;Soler;2;female;escritora;pedestrian;https://es.wikipedia.org/wiki/Amalia_Domingo_Soler
Patio de María Auxiliadora;Patio de María Auxiliadora;Patio de María;Auxiliadora;2;female;santa;pedestrian;
Calle Virgen de Belén;Virgen de Belén;Virgen de;Belén;2;female;religiosa;residential;
Plaza Farmacéutica Margarita González;Farmacéutica Margarita González;Farmacéutica Margarita;González;2;female;cientifica;pedestrian;
Glorieta Poeta María de los Reyes Fuentes;Glorieta Poeta María de los Reyes Fuentes;Glorieta Poeta María de los Reyes;Fuentes;2;female;escritora;footway;https://es.wikipedia.org/wiki/María_de_los_Reyes_Fuentes
Calle María Bohorquez;María Bohorquez;María;Bohorquez;2;female;historica;service;
Calle Felicidad Abril de Dios;Felicidad Abril de Dios;Felicidad Abril de;Dios;2;female;historica;pedestrian;
Paseo Locutora Eva Montesinos;Locutora Eva Montesinos;Locutora Eva;Montesinos;2;female;artista;pedestrian;
Calle Madre del Creador;Madre del Creador;Madre del;Creador;2;female;religiosa;pedestrian;
Calle Concha Yoldi;Concha Yoldi;Concha;Yoldi;2;female;historica;service;
Calle Empresaria Concha Yoldi;Empresaria Concha Yoldi;Empresaria Concha;Yoldi;2;female;historica;service;
Calle Rosario Vega;Rosario Vega;Rosario;Vega;2;female;historica;residential;
Calle Ana Valencia Vilches;Ana Valencia Vilches;Ana Valencia;Vilches;2;female;historica;residential;
Plazoleta Doña Conchita Rivas;Plazoleta Doña Conchita Rivas;Plazoleta Doña Conchita;Rivas;2;female;historica;footway;
Calle Sor Manuela Ramos;Sor Manuela Ramos;Sor Manuela;Ramos;2;female;religiosa;pedestrian;
Calle Pina López Gay;Pina López Gay;Pina López;Gay;2;female;politica;residential;https://es.wikipedia.org/wiki/Pina_López_Gay
Calle Santa María Magdalena;Santa María Magdalena;Santa María;Magdalena;2;female;santa;residential;https://es.wikipedia.org/wiki/Santa_María_Magdalena
Virgen de la Regla nº1 Pasaje;Virgen de la Regla nº1 Pasaje;Virgen de la Regla nº1;Pasaje;2;female;religiosa;footway;
Paseo Concha Sáinz;Concha Sáinz;Concha;Sáinz;2;female;historica;footway;https://es.wikipedia.org/wiki/La_Concha_(San_Roque_de_Riomiera)
Calle Talia;Talia;Talia;;2;female;historica;residential;https://es.wikipedia.org/wiki/Talia
Calle Dulcinea;Dulcinea;Dulcinea;;2;female;historica;pedestrian;https://es.wikipedia.org/wiki/Dulcinea_del_Toboso
Calle Yerma;Yerma;Yerma;;2;female;historica;pedestrian;https://es.wikipedia.org/wiki/Yerma
Calle Virgen de Cuatrovitas;Virgen de Cuatrovitas;Virgen de;Cuatrovitas;2;female;religiosa;pedestrian;
Pasaje Virgen de la Humildad;Pasaje Virgen de la Humildad;Pasaje Virgen de la;Humildad;2;female;religiosa;pedestrian;
Nucleo Residencial Nuestra Señora del Amparo;Nucleo Residencial Nuestra Señora del Amparo;Nucleo Residencial Nuestra Señora del;Amparo;2;female;religiosa;service;
Plaza Santa Isabel;Santa Isabel;Santa;Isabel;2;female;santa;footway;https://es.wikipedia.org/wiki/Santa_Isabel
Plaza Ernestina de Champourcin;Ernestina de Champourcin;Ernestina de;Champourcin;2;female;escritora;pedestrian;https://es.wikipedia.org/wiki/Ernestina_de_Champourcin
Pasaje Sor Ángela Hinojosa;Pasaje Sor Ángela Hinojosa;Pasaje Sor Ángela;Hinojosa;2;female;religiosa;footway;
Calle Madre Mercedes Trullas;Madre Mercedes Trullas;Madre Mercedes;Trullas;2;female;religiosa;pedestrian;
Calle Santa Elena;Santa Elena;Santa;Elena;2;female;santa;residential;
Calle María Santísima de la Caridad;María Santísima de la Caridad;María Santísima de la;Caridad;2;female;religiosa;footway;
Calle Carmen Chacón Piqueras;Carmen Chacón Piqueras;Carmen Chacón;Piqueras;2;female;politica;pedestrian;https://es.wikipedia.org/wiki/Carmen_Chacón_Piqueras
Plaza Esperanza Macarena;Esperanza Macarena;Esperanza;Macarena;2;female;religiosa;pedestrian;
