calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Plaza del Huerto Paco;Huerto Paco;Huerto;Paco;-2;Male;-;-
Calle de Vasco Núñez de Balboa;Vasco Núñez de Balboa;Vasco;Núñez;-2;Male;-;-
Avenida de Cristóbal Colón;Cristóbal Colón;Cristóbal;Colón;-2;Male;-;-
Calle San Sebastián;San Sebastián;San;Sebastián;-2;Male;-;-
Calle Alonso Barba;Alonso Barba;Alonso;Barba;-2;Male;-;-
Calle José Muñoz Leandro "Pirfo";José Muñoz Leandro "Pirfo";José;Muñoz;-2;Male;-;-
Calle Vicente Ferrer;Vicente Ferrer;Vicente;Ferrer;-2;Male;-;-
Calle Madre Teresa de Calcuta;Madre Teresa Calcuta;Madre;Teresa;2;Female;-;-;https://es.wikipedia.org/wiki/Teresa_de_Calcuta
Avenida Pio XII;Pio XII;Pio;XII;-2;Male;-;-
Calle Rubén Darío;Rubén Darío;Rubén;Darío;-2;Male;-;-
Calle Antonio Machado;Antonio Machado;Antonio;Machado;-2;Male;-;-
Avenida de Francisco Montenegro;Francisco Montenegro;Francisco;Montenegro;-2;Male;-;-
Calle Presidente Adolfo Suárez;Presidente Adolfo Suárez;Presidente;Adolfo;-2;Male;-;-
Calle Doctor Celestino Verdier;Doctor Celestino Verdier;Doctor;Celestino;-2;Male;-;-
Calle Manuel de Falla;Manuel Falla;Manuel;Falla;-2;Male;-;-
Calle Alonso de Ojeda;Alonso Ojeda;Alonso;Ojeda;-2;Male;-;-
Avenida de Diego Morón;Diego Morón;Diego;Morón;-2;Male;-;-
Avenida de San Antonio;San Antonio;San;Antonio;-2;Male;-;-
Calle Juan Sebastián Elcano;Juan Sebastián Elcano;Juan;Sebastián;-2;Male;-;-
Calle Santiago Apóstol;Santiago Apóstol;Santiago;Apóstol;-2;Male;-;-
Avenida de Pío XII;Pío XII;Pío;XII;-2;Male;-;-
Calle Blanca Paloma;Blanca Paloma;Blanca;Paloma;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_del_Roc%C3%ADo
Avenida de Pablo Ruiz Picasso;Pablo Ruiz Picasso;Pablo;Ruiz;-2;Male;-;-
Calle Pablo Rada;Pablo Rada;Pablo;Rada;-2;Male;-;-
Calle Roque Barcia;Roque Barcia;Roque;Barcia;-2;Male;-;-
Calle Francisco Niño;Francisco Niño;Francisco;Niño;-2;Male;-;-
Avenida de la Cinta;Cinta;Cinta;;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_de_la_Cinta_(Catedral_de_Huelva)
Calle Médico Luiz Buendía;Médico Luiz Buendía;Médico;Luiz;-2;Male;-;-
Calle Concepción;Concepción;Concepción;;2;Female;-;-;https://es.wikipedia.org/wiki/Inmaculada_Concepci%C3%B3n
Calle Doctor Plácido Bañuelos;Doctor Plácido Bañuelos;Doctor;Plácido;-2;Male;-;-
Calle Alfonso XIII;Alfonso XIII;Alfonso;XIII;-2;Male;-;-
Calle Amado de Lázaro;Amado Lázaro;Amado;Lázaro;-2;Male;-;-
Calle Sor Paula Alzola;Sor Paula Alzola;Sor;Paula;2;Female;-;-
Calle Escultor León Ortega;Escultor León Ortega;Escultor;León;-2;Male;-;-
Carretera de La Cinta;Carretera de La Cinta;Carretera;de;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_de_la_Cinta_(Catedral_de_Huelva)
Calle Pascual Martínez;Pascual Martínez;Pascual;Martínez;-2;Male;-;-
Calle Diego Velázquez;Diego Velázquez;Diego;Velázquez;-2;Male;-;-
Calle Miguel de Unamuno;Miguel Unamuno;Miguel;Unamuno;-2;Male;-;-
Calle Ruiz de Alda;Ruiz Alda;Ruiz;Alda;2;Male;-;-;
